id,Event,Distance,Sex,Ranking,Time 1,Miliseconds,Relay,When,Swimmer,id2,Swimmer nationality,nCountry,Continent nationality,nContinent,Date,Meet,Meet location
swim1596,100 m backstroke,100,Female,6,01:06.40,66004,,,Karen Muir,Karen_Muir,South Africa,25,Africa,28,"Saturday, April 6, 1968",,"Paris, France"
swim1597,100 m backstroke,100,Female,7,01:06.20,66002,,,Kaye Hall,Kaye_Hall,United States,7,America,8,"Wednesday, October 23, 1968",Olympic Games,"Mexico City, Mexico"
swim1599,100 m backstroke,100,Female,9,01:05.39,65039,,,Ulrike Richter,Ulrike_Richter,East Germany,176,Europe,568,"Saturday, August 18, 1973",,"Utrecht, Netherlands"
swim1598,100 m backstroke,100,Female,8,01:05.60,65006,,,Karen Muir,Karen_Muir,South Africa,8,Africa,8,"Sunday, July 6, 1969",,"Utrecht, Netherlands"
swim1600,100 m backstroke,100,Female,10,01:04.99,64099,,Relay,Ulrike Richter,Ulrike_Richter,East Germany,30,Europe,98,"Tuesday, September 4, 1973",World Championships,"Belgrade, Yugoslavia"
swim1601,100 m backstroke,100,Female,11,01:04.78,64078,,,Wendy Cook,Wendy_Cook,Canada,9,America,249,"Thursday, January 31, 1974",,"Christchurch, New Zealand"
swim1602,100 m backstroke,100,Female,12,01:04.43,64043,,,Ulrike Richter,Ulrike_Richter,East Germany,183,Europe,606,"Monday, July 8, 1974",,"Rostock, East Germany"
swim1603,100 m backstroke,100,Female,13,01:04.09,64009,,,Ulrike Richter,Ulrike_Richter,East Germany,88,Europe,250,"Thursday, August 22, 1974",,"Vienna, Austria"
swim1604,100 m backstroke,100,Female,14,01:03.30,63003,,,Ulrike Richter,Ulrike_Richter,East Germany,223,Europe,747,"Friday, August 23, 1974",,"Vienna, Austria"
swim1605,100 m backstroke,100,Female,15,01:02.98,62098,,,Ulrike Richter,Ulrike_Richter,East Germany,94,Europe,280,"Sunday, September 1, 1974",,"Concord, California, USA"
swim1606,100 m backstroke,100,Female,16,01:02.60,62006,,,Ulrike Richter,Ulrike_Richter,East Germany,98,Europe,311,"Sunday, March 14, 1976",,"Tallinn, USSR"
swim1607,100 m backstroke,100,Female,17,01:01.62,61062,,,Kornelia Ender,Kornelia_Ender,East Germany,68,Europe,203,"Thursday, June 3, 1976",,"Berlin, East Germany"
swim1608,100 m backstroke,100,Female,18,01:01.51,61051,,,Ulrike Richter,Ulrike_Richter,East Germany,147,Europe,496,"Saturday, June 5, 1976",,"Berlin, East Germany"
swim1609,100 m backstroke,100,Female,19,01:01.51,61051,,,Rica Reinisch,Rica_Reinisch,East Germany,109,Europe,353,"Sunday, July 20, 1980",Olympic Games,"Moscow, USSR"
swim1610,100 m backstroke,100,Female,20,01:01.50,61005,,,Rica Reinisch,Rica_Reinisch,East Germany,45,Europe,139,"Tuesday, July 22, 1980",Olympic Games,"Moscow, USSR"
swim1611,100 m backstroke,100,Female,21,01:00.86,60086,,,Rica Reinisch,Rica_Reinisch,East Germany,15,Europe,42,"Wednesday, July 23, 1980",Olympic Games,"Moscow, USSR"
swim1612,100 m backstroke,100,Female,22,01:00.59,60059,,Relay,Ina Kleber,Ina_Kleber,East Germany,218,Europe,742,"Friday, August 24, 1984",Friendship Games,"Moscow, USSR"
swim1613,100 m backstroke,100,Female,23,01:00.31,60031,,,Krisztina Egerszegi,Krisztina_Egerszegi,Hungary,16,Europe,248,"Thursday, August 22, 1991",European Championships,"Athens, Greece"
swim1614,100 m backstroke,100,Female,24,01:00.16,60016,,Relay,He Cihong,He_Cihong,China,17,Asia,91,"Saturday, September 10, 1994",World Championships,"Rome, Italy"
swim1615,100 m backstroke,100,Female,25,59.58,59058,,,Natalie Coughlin,Natalie_Coughlin,United States,158,America,166,"Tuesday, August 13, 2002",U.S. National Swimming Championships,"Fort Lauderdale, Florida, USA"
swim1616,100 m backstroke,100,Female,26,59.44,59044,,,Natalie Coughlin,Natalie_Coughlin,United States,103,America,109,"Tuesday, March 27, 2007",World Championships,"Melbourne, Australia"
swim1617,100 m backstroke,100,Female,27,59.21,59021,,,Natalie Coughlin,Natalie_Coughlin,United States,420,America,443,"Sunday, February 17, 2008",Missouri Grand Prix,"Columbia, Missouri, United States"
swim1618,100 m backstroke,100,Female,28,59.15,59015,,,Hayley McGregory,Hayley_McGregory,United States,811,America,842,"Monday, June 30, 2008",USA Olympic Trials,"Omaha, Nebraska, United States"
swim1619,100 m backstroke,100,Female,29,59.03,59003,,,Natalie Coughlin,Natalie_Coughlin,United States,812,America,843,"Monday, June 30, 2008",USA Olympic Trials,"Omaha, Nebraska, United States"
swim1620,100 m backstroke,100,Female,30,58.97,58097,,,Natalie Coughlin,Natalie_Coughlin,United States,133,America,140,"Tuesday, July 1, 2008",USA Olympic Trials,"Omaha, Nebraska, United States"
